NODES, q, ratio, Di, num_adaptive, synce,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
12,0,0.5,6,0,0,616.844904,,12,0,0.5,6,0,0,541.9349481,,12,0,0.5,6,0,0,844.4634494
12,0.02,0.5,6,0,0,611.3812623,,12,0.02,0.5,6,0,0,655.0261895,,12,0.02,0.5,6,0,0,410.2873955
12,0.04,0.5,6,0,0,601.0570376,,12,0.04,0.5,6,0,0,282.4949113,,12,0.04,0.5,6,0,0,140.3454051
12,0.06,0.5,6,0,0,452.9228224,,12,0.06,0.5,6,0,0,314.4916509,,12,0.06,0.5,6,0,0,51.33616177
12,0.08,0.5,6,0,0,591.0700923,,12,0.08,0.5,6,0,0,122.3374503,,12,0.08,0.5,6,0,0,20.93767009
12,0.1,0.5,6,0,0,398.5120414,,12,0.1,0.5,6,0,0,9.987805639,,12,0.1,0.5,6,0,0,9.443695952
12,0.12,0.5,6,0,0,310.2987802,,12,0.12,0.5,6,0,0,43.30387634,,12,0.12,0.5,6,0,0,4.719933702
12,0.14,0.5,6,0,0,138.4267301,,12,0.14,0.5,6,0,0,10.73099102,,12,0.14,0.5,6,0,0,2.983962826
12,0.16,0.5,6,0,0,485.3233214,,12,0.16,0.5,6,0,0,2.021174997,,12,0.16,0.5,6,0,0,2.030460109
12,0.18,0.5,6,0,0,106.6766149,,12,0.18,0.5,6,0,0,7.526579864,,12,0.18,0.5,6,0,0,1.477805094
12,0.2,0.5,6,0,0,8.700807994,,12,0.2,0.5,6,0,0,42.84054853,,12,0.2,0.5,6,0,0,1.157143604
12,0.22,0.5,6,0,0,543.226919,,12,0.22,0.5,6,0,0,1.569163774,,12,0.22,0.5,6,0,0,0.870928797
12,0.24,0.5,6,0,0,110.2652174,,12,0.24,0.5,6,0,0,6.800092867,,12,0.24,0.5,6,0,0,0.815381871
12,0.26,0.5,6,0,0,11.89956334,,12,0.26,0.5,6,0,0,8.71666989,,12,0.26,0.5,6,0,0,0.688470566
12,0.28,0.5,6,0,0,37.98141148,,12,0.28,0.5,6,0,0,0.901335838,,12,0.28,0.5,6,0,0,0.601254427
12,0.3,0.5,6,0,0,51.88311167,,12,0.3,0.5,6,0,0,0.627335982,,12,0.3,0.5,6,0,0,0.628764479
12,0.32,0.5,6,0,0,281.6990273,,12,0.32,0.5,6,0,0,0.574157784,,12,0.32,0.5,6,0,0,0.489741767
12,0.34,0.5,6,0,0,95.37956863,,12,0.34,0.5,6,0,0,0.484120918,,12,0.34,0.5,6,0,0,0.306225439
12,0.36,0.5,6,0,0,206.7097153,,12,0.36,0.5,6,0,0,0.426090389,,12,0.36,0.5,6,0,0,0.262130701
12,0.38,0.5,6,0,0,5.029426209,,12,0.38,0.5,6,0,0,6.835000078,,12,0.38,0.5,6,0,0,0.220151352
12,0.4,0.5,6,0,0,26.70350543,,12,0.4,0.5,6,0,0,3.31658594,,12,0.4,0.5,6,0,0,0.291897133
12,0.42,0.5,6,0,0,13.35833758,,12,0.42,0.5,6,0,0,0.323146173,,12,0.42,0.5,6,0,0,0.220521698
12,0.44,0.5,6,0,0,113.7583187,,12,0.44,0.5,6,0,0,0.249727608,,12,0.44,0.5,6,0,0,0.252216191
12,0.46,0.5,6,0,0,11.23108173,,12,0.46,0.5,6,0,0,0.218133294,,12,0.46,0.5,6,0,0,0.226113394
12,0.48,0.5,6,0,0,23.98869125,,12,0.48,0.5,6,0,0,0.206977085,,12,0.48,0.5,6,0,0,0.17552568
