NODES, q, ratio, Di, num_adaptive, synce,
12,0,0.5,6,0,0,616.844904
12,0.02,0.5,6,0,0,611.3812623
12,0.04,0.5,6,0,0,601.0570376
12,0.06,0.5,6,0,0,452.9228224
12,0.08,0.5,6,0,0,591.0700923
12,0.1,0.5,6,0,0,398.5120414
12,0.12,0.5,6,0,0,310.2987802
12,0.14,0.5,6,0,0,138.4267301
12,0.16,0.5,6,0,0,485.3233214
12,0.18,0.5,6,0,0,106.6766149
12,0.2,0.5,6,0,0,8.700807994
12,0.22,0.5,6,0,0,543.226919
12,0.24,0.5,6,0,0,110.2652174
12,0.26,0.5,6,0,0,11.89956334
12,0.28,0.5,6,0,0,37.98141148
12,0.3,0.5,6,0,0,51.88311167
12,0.32,0.5,6,0,0,281.6990273
12,0.34,0.5,6,0,0,95.37956863
12,0.36,0.5,6,0,0,206.7097153
12,0.38,0.5,6,0,0,5.029426209
12,0.4,0.5,6,0,0,26.70350543
12,0.42,0.5,6,0,0,13.35833758
12,0.44,0.5,6,0,0,113.7583187
12,0.46,0.5,6,0,0,11.23108173
12,0.48,0.5,6,0,0,23.98869125
